2004/06/21 02:09:23 Constractor Call ThreadName=[PDFCREATE]
2004/06/21 02:09:23 Init Call
2004/06/21 02:09:23 SYSTEM-READY-MODE
2004/06/21 02:10:23 SYSTEM-OK-MODE
2004/06/21 02:10:23 Start Transaction
2004/06/21 02:10:34 Transaction RollBack
2004/06/21 02:10:34 Start Transaction
2004/06/21 02:10:44 Transaction RollBack
2004/06/21 02:10:44 Start Transaction
2004/06/21 02:10:54 Transaction RollBack
2004/06/21 02:10:54 Start Transaction
2004/06/21 02:11:05 Transaction RollBack
2004/06/21 02:11:05 Start Transaction
2004/06/21 02:11:15 Transaction RollBack
2004/06/21 02:11:15 Start Transaction
2004/06/21 02:11:25 Transaction RollBack
2004/06/21 02:11:25 Start Transaction
2004/06/21 02:11:36 Transaction RollBack
2004/06/21 02:11:36 Start Transaction
2004/06/21 02:11:46 Transaction RollBack
2004/06/21 02:11:46 Start Transaction
2004/06/21 02:11:56 Transaction RollBack
2004/06/21 02:11:56 Start Transaction
2004/06/21 02:12:07 Transaction RollBack
2004/06/21 02:12:07 Start Transaction
2004/06/21 02:12:17 Transaction RollBack
2004/06/21 02:12:17 Start Transaction
2004/06/21 02:12:27 Transaction RollBack
2004/06/21 02:12:28 Start Transaction
2004/06/21 02:12:38 Transaction RollBack
2004/06/21 02:12:38 Start Transaction
2004/06/21 02:12:48 Transaction RollBack
2004/06/21 02:12:48 Start Transaction
2004/06/21 02:12:58 Transaction RollBack
2004/06/21 02:12:59 Start Transaction
2004/06/21 02:13:09 Transaction RollBack
2004/06/21 02:13:09 Start Transaction
2004/06/21 02:13:19 Transaction RollBack
2004/06/21 02:13:19 Start Transaction
2004/06/21 02:13:29 Transaction RollBack
2004/06/21 02:13:30 Start Transaction
2004/06/21 02:13:40 Transaction RollBack
2004/06/21 02:13:40 Start Transaction
2004/06/21 02:13:50 Transaction RollBack
2004/06/21 02:13:50 Start Transaction
2004/06/21 02:14:00 Transaction RollBack
2004/06/21 02:14:01 Start Transaction
2004/06/21 02:14:11 Transaction RollBack
2004/06/21 02:14:11 Start Transaction
2004/06/21 02:14:21 Transaction RollBack
2004/06/21 02:14:21 Start Transaction
2004/06/21 02:14:32 Transaction RollBack
2004/06/21 02:14:32 Start Transaction
2004/06/21 02:14:42 Transaction RollBack
2004/06/21 02:14:42 Start Transaction
2004/06/21 02:14:52 Transaction RollBack
2004/06/21 02:14:52 Start Transaction
2004/06/21 02:15:03 Transaction RollBack
2004/06/21 02:15:03 Start Transaction
2004/06/21 02:15:13 Transaction RollBack
2004/06/21 02:15:13 Start Transaction
2004/06/21 02:15:23 Transaction RollBack
2004/06/21 02:15:23 Start Transaction
2004/06/21 02:15:34 Transaction RollBack
2004/06/21 02:15:34 Start Transaction
2004/06/21 02:15:44 Transaction RollBack
2004/06/21 02:15:44 Start Transaction
2004/06/21 02:15:54 Transaction RollBack
2004/06/21 02:15:54 Start Transaction
2004/06/21 02:16:05 Transaction RollBack
2004/06/21 02:16:05 Start Transaction
2004/06/21 02:16:15 Transaction RollBack
2004/06/21 02:16:15 Start Transaction
2004/06/21 02:16:25 Transaction RollBack
2004/06/21 02:16:25 Start Transaction
2004/06/21 02:16:36 Transaction RollBack
2004/06/21 02:16:36 Start Transaction
2004/06/21 02:16:46 Transaction RollBack
2004/06/21 02:16:46 Start Transaction
2004/06/21 02:16:56 Transaction RollBack
2004/06/21 02:16:56 Start Transaction
2004/06/21 02:17:07 Transaction RollBack
2004/06/21 02:17:07 Start Transaction
2004/06/21 02:17:17 Transaction RollBack
2004/06/21 02:17:17 Start Transaction
2004/06/21 02:17:27 Transaction RollBack
2004/06/21 02:17:27 Start Transaction
2004/06/21 02:17:38 Transaction RollBack
2004/06/21 02:17:38 Start Transaction
2004/06/21 02:17:48 Transaction RollBack
2004/06/21 02:17:48 Start Transaction
2004/06/21 02:17:58 Transaction RollBack
2004/06/21 02:17:58 Start Transaction
2004/06/21 02:18:09 Transaction RollBack
2004/06/21 02:18:09 Start Transaction
2004/06/21 02:18:19 Transaction RollBack
2004/06/21 02:18:19 Start Transaction
2004/06/21 02:18:29 Transaction RollBack
2004/06/21 02:18:29 Start Transaction
2004/06/21 02:18:40 Transaction RollBack
2004/06/21 02:18:40 Start Transaction
2004/06/21 02:18:50 Transaction RollBack
2004/06/21 02:18:50 Start Transaction
2004/06/21 02:19:00 Transaction RollBack
2004/06/21 02:19:00 Start Transaction
2004/06/21 02:19:11 Transaction RollBack
2004/06/21 02:19:11 Start Transaction
2004/06/21 02:19:21 Transaction RollBack
2004/06/21 02:19:21 Start Transaction
2004/06/21 02:19:31 Transaction RollBack
2004/06/21 02:19:31 Start Transaction
2004/06/21 02:19:42 Transaction RollBack
2004/06/21 02:19:42 Start Transaction
2004/06/21 02:19:52 Transaction RollBack
2004/06/21 02:19:52 Start Transaction
2004/06/21 02:20:02 Transaction RollBack
2004/06/21 02:20:03 Start Transaction
2004/06/21 02:20:13 Transaction RollBack
2004/06/21 02:20:13 Start Transaction
2004/06/21 02:20:23 Transaction RollBack
2004/06/21 02:20:23 Start Transaction
2004/06/21 02:20:33 Transaction RollBack
2004/06/21 02:20:34 Start Transaction
2004/06/21 02:20:44 Transaction RollBack
2004/06/21 02:20:44 Start Transaction
2004/06/21 02:20:54 Transaction RollBack
2004/06/21 02:20:54 Start Transaction
2004/06/21 02:21:04 Transaction RollBack
2004/06/21 02:21:05 Start Transaction
2004/06/21 02:21:15 Transaction RollBack
2004/06/21 02:21:15 Start Transaction
2004/06/21 02:21:25 Transaction RollBack
2004/06/21 02:21:25 Start Transaction
2004/06/21 02:21:36 Transaction RollBack
2004/06/21 02:21:36 Start Transaction
2004/06/21 02:21:46 Transaction RollBack
2004/06/21 02:21:46 Start Transaction
2004/06/21 02:21:56 Transaction RollBack
2004/06/21 02:21:56 Start Transaction
2004/06/21 02:22:07 Transaction RollBack
