2004/06/18 10:04:06 Constractor Call ThreadName=[PDFCREATE]
2004/06/18 10:04:06 Init Call
2004/06/18 10:04:06 SYSTEM-OK-MODE
2004/06/18 10:04:07 Start Transaction
2004/06/18 10:04:17 Transaction RollBack
2004/06/18 10:04:17 Start Transaction
2004/06/18 10:04:28 Transaction RollBack
2004/06/18 10:04:28 Start Transaction
2004/06/18 10:04:38 Transaction RollBack
2004/06/18 10:04:38 Start Transaction
2004/06/18 10:04:48 Transaction RollBack
2004/06/18 10:04:48 Start Transaction
2004/06/18 10:04:59 Transaction RollBack
2004/06/18 10:04:59 Start Transaction
2004/06/18 10:05:09 Transaction RollBack
2004/06/18 10:05:09 Start Transaction
2004/06/18 10:05:19 Transaction RollBack
2004/06/18 10:05:19 Start Transaction
2004/06/18 10:05:30 Transaction RollBack
2004/06/18 10:05:30 Start Transaction
2004/06/18 10:05:40 Transaction RollBack
2004/06/18 10:05:40 Start Transaction
2004/06/18 10:05:50 Transaction RollBack
2004/06/18 10:05:50 Start Transaction
2004/06/18 10:06:01 Transaction RollBack
2004/06/18 10:06:01 Start Transaction
2004/06/18 10:06:11 Transaction RollBack
2004/06/18 10:06:11 Start Transaction
2004/06/18 10:06:21 Transaction RollBack
2004/06/18 10:06:22 Start Transaction
2004/06/18 10:06:32 Transaction RollBack
2004/06/18 10:06:32 Start Transaction
2004/06/18 10:06:42 Transaction RollBack
2004/06/18 10:06:42 Start Transaction
2004/06/18 10:06:52 Transaction RollBack
2004/06/18 10:06:53 Start Transaction
2004/06/18 10:07:03 Transaction RollBack
2004/06/18 10:07:03 Start Transaction
2004/06/18 10:07:13 Transaction RollBack
2004/06/18 10:07:13 Start Transaction
2004/06/18 10:07:23 Transaction RollBack
2004/06/18 10:07:24 Start Transaction
2004/06/18 10:07:34 Transaction RollBack
2004/06/18 10:07:34 Start Transaction
2004/06/18 10:07:44 Transaction RollBack
2004/06/18 10:07:44 Start Transaction
2004/06/18 10:07:55 Transaction RollBack
2004/06/18 10:07:55 Start Transaction
2004/06/18 10:08:05 Transaction RollBack
2004/06/18 10:08:05 Start Transaction
2004/06/18 10:08:15 Transaction RollBack
2004/06/18 10:08:15 Start Transaction
2004/06/18 10:08:26 Transaction RollBack
2004/06/18 10:08:26 Start Transaction
2004/06/18 10:08:36 Transaction RollBack
2004/06/18 10:08:36 Start Transaction
2004/06/18 10:08:46 Transaction RollBack
2004/06/18 10:08:46 Start Transaction
2004/06/18 10:08:57 Transaction RollBack
2004/06/18 10:08:57 Start Transaction
2004/06/18 10:09:07 Transaction RollBack
2004/06/18 10:09:07 Start Transaction
2004/06/18 10:09:17 Transaction RollBack
2004/06/18 10:09:17 Start Transaction
2004/06/18 10:09:28 Transaction RollBack
2004/06/18 10:09:28 Start Transaction
2004/06/18 10:09:38 Transaction RollBack
2004/06/18 10:09:38 Start Transaction
2004/06/18 10:09:48 Transaction RollBack
2004/06/18 10:09:48 Start Transaction
2004/06/18 10:09:59 Transaction RollBack
2004/06/18 10:09:59 Start Transaction
2004/06/18 10:10:09 Transaction RollBack
2004/06/18 10:10:09 Start Transaction
2004/06/18 10:10:19 Transaction RollBack
2004/06/18 10:10:19 Start Transaction
2004/06/18 10:10:30 Transaction RollBack
2004/06/18 10:10:30 Start Transaction
2004/06/18 10:10:40 Transaction RollBack
2004/06/18 10:10:40 Start Transaction
2004/06/18 10:10:50 Transaction RollBack
2004/06/18 10:10:51 Start Transaction
2004/06/18 10:11:01 Transaction RollBack
2004/06/18 10:11:01 Start Transaction
2004/06/18 10:11:11 Transaction RollBack
2004/06/18 10:11:11 Start Transaction
